"address","city","zip_code","sold_date","price","rooms","size","build_year","latitude","longitude"
"Harald Jensens Plads 19, 4. th","Aarhus C",8000,"2018-09-27",3200000,3,98,1935,56.143005,10.188412
"Skovvejen 46K, 4. tv","Aarhus C",8000,"2018-09-27",3798000,3,81,1938,56.168118,10.219727
"Langelandsgade 214, 1. th","Aarhus N",8200,"2018-09-27",1285312,2,66,1938,56.173573,10.202148
"Skovvangsvej 26A, 2. 9","Aarhus N",8200,"2018-09-27",2100000,2,79,1960,56.1762,10.202433
"Brendstrupvej 23, st. 3","Aarhus N",8200,"2018-09-27",2385000,3,74,1967,56.174706,10.199708
"Rudolph Wulffs Gade 15, 2. tv","Aarhus C",8000,"2018-09-26",2450000,3,80,1953,56.139847,10.184326
"Helgolandsgade 27, 3","Aarhus C",8000,"2018-09-26",986000,2,54,1888,56.148373,10.201341
"Ceresbyen 36, 2. 2","Aarhus C",8000,"2017-08-12",2625000,3,64,2017,56.156067,10.191401
"Hendrik Pontoppidans Gade 6, 2. tv","Aarhus C",8000,"2017-08-10",2407000,2,61,1906,56.14495,10.205369
"Banegårdsgade 21, 1","Aarhus C",8000,"2017-08-10",1406156,5,102,1885,56.150547,10.201424
"Nordborggade 51, st. th","Aarhus C",8000,"2017-08-10",1850000,2,73,1961,56.145466,10.184147
"Marselis Boulevard 28, 9. 1","Aarhus C",8000,"2017-08-10",5000000,5,130,1959,56.141796,10.201582
"Trøjborgvej 24, 4. tv","Aarhus N",8200,"2017-08-10",2050000,2,44,1900,56.169495,10.215137
"Mariane Thomsens Gade 3, 1. 4","Aarhus C",8000,"2017-08-10",3050000,3,97,2017,56.165657,10.229491
"Skt. Pauls Gade 49, 2. tv","Aarhus C",8000,"2017-08-09",1880000,2,46,1900,56.146065,10.1989155
"Kystvejen 57, st","Aarhus C",8000,"2017-08-09",5800000,5,166,1900,56.16155,10.2150755
"Skanderborgvej 35, 5. th","Aarhus C",8000,"2017-08-09",1845000,2,53,1938,56.14035,10.183439
"Skovvejen 46G, 1. th","Aarhus C",8000,"2017-08-09",2215000,2,61,1938,56.168438,10.219056
"Herluf Trolles Gade 46, 1. tv","Aarhus N",8200,"2017-08-09",2100000,2,57,1926,56.173042,10.215854
"Viborgvej 27, 5. tv","Aarhus C",8000,"2017-08-09",1020000,1,56,1930,56.15849,10.190061
"Borggade 3, 1. tv","Aarhus C",8000,"2017-08-09",3498000,4,108,1934,56.159485,10.208619
"Ålborggade 28, 1. th","Aarhus C",8000,"2017-08-09",2580000,2,65,1931,56.143204,10.1914
"Irma Pedersens Gade 99, 3. 2","Aarhus C",8000,"2017-08-09",2700000,2,58,2019,56.16277,10.228704
"Irma Pedersens Gade 115, 4. 2","Aarhus C",8000,"2017-08-09",2750000,2,58,2019,56.16301,10.228783
"Finderupvej 2N, st. 1","Aarhus C",8000,"2017-08-09",2150000,2,64,2009,56.15505,10.181395
"Irma Pedersens Gade 15, 2. 2","Aarhus C",8000,"2017-08-09",2400000,2,59,2019,56.163555,10.228079
"Irma Pedersens Gade 115, 3. 2","Aarhus C",8000,"2017-08-09",2700000,2,58,2019,56.16301,10.228783
"Montanagade 39, kl","Aarhus C",8000,"2017-08-09",1275000,2,65,1896,56.14644,10.200058
"Edouard Suensons Gade 6, 2. t","Aarhus N",8200,"2017-08-08",1500000,1,52,1966,56.17092,10.217527
"Langelinieparken 3C, 2. 3","Aarhus C",8000,"2017-08-08",1203000,2,69,2005,56.168095,10.220435
"Chr. Wærums Gade 10, st. th","Aarhus C",8000,"2017-08-08",1700000,3,98,1930,56.14347,10.192506
"Langenæs Allé 45, st. tv","Aarhus C",8000,"2017-08-08",1570000,2,53,1960,56.14123,10.181136
"H.N. Clausens Gade 8, 1","Aarhus C",8000,"2017-08-08",1700000,2,57,1885,56.14792,10.204493
"Lundbyesgade 21, 4. th","Aarhus C",8000,"2017-08-07",2740000,3,72,1925,56.154675,10.1950245
"Borggade 11, 4. th","Aarhus C",8000,"2017-08-07",2865000,3,81,1932,56.160084,10.208657
"Vestervang 22, 1. mf","Aarhus C",8000,"2017-08-07",1800000,2,66,1986,56.163933,10.194142
"Tåsingegade 14, st. 4","Aarhus N",8200,"2017-08-07",1112500,1,33,1939,56.173176,10.20239
"Banegårdsgade 1, 2. 14","Aarhus C",8000,"2017-08-07",1650000,2,57,1956,56.15066,10.200121
"Ceresbyen 50, 2. 4","Aarhus C",8000,"2017-08-07",2500000,2,63,2018,56.156174,10.192819
"Vesterbrogade 17, 2. tv","Aarhus C",8000,"2017-08-07",3550000,3,90,1905,56.157726,10.196154
"Skt. Nicolaus Gade 3, 2. 17","Aarhus C",8000,"2017-08-07",2075000,2,51,1969,56.151073,10.199332
"Skanderborgvej 35, 4. th","Aarhus C",8000,"2017-08-06",2250000,2,69,1938,56.14035,10.183439
"Harald Jensens Plads 15, 2. tv","Aarhus C",8000,"2017-08-06",2378000,2,60,1934,56.142937,10.189442
"Søndre Ringgade 77, 2. tv","Aarhus C",8000,"2017-08-06",2729000,3,86,1938,56.14634,10.185713
"Mejlgade 49, 2. th","Aarhus C",8000,"2017-08-06",3895000,3,102,1900,56.159767,10.212667
"Kriegersvej 19, 3. 1","Aarhus C",8000,"2017-08-06",2445000,1,69,1875,56.15011,10.199668
"Irma Pedersens Gade 15, 9. 1","Aarhus C",8000,"2017-08-06",5600000,3,103,2019,56.163555,10.228079
"Langelandsgade 7, 3. 1","Aarhus C",8000,"2017-08-06",1750000,1,47,2011,56.158733,10.198695
"Mariane Thomsens Gade 37","Aarhus C",8000,"2017-08-06",2048000,2,55,2013,56.165184,10.230517
"Irma Pedersens Gade 15, 3. 2","Aarhus C",8000,"2017-08-06",7500000,2,59,2019,56.163555,10.228079
"Thorvaldsensgade 31, st. 3","Aarhus C",8000,"2017-08-06",2050000,2,53,2017,56.156837,10.19446
"Irma Pedersens Gade 131, 4. th","Aarhus C",8000,"2017-08-06",4950000,3,101,2019,56.16325,10.228861
"Ceresbyen 54, st. 1","Aarhus C",8000,"2019-08-20",3750000,3,97,2018,56.15644,10.19309
"P.P. Ørums Gade 12, 2. tv","Aarhus C",8000,"2019-08-20",2525000,2,70,1935,56.140984,10.192192
"Skt. Nicolaus Gade 3, 2. 23","Aarhus C",8000,"2019-08-20",1105000,2,62,1969,56.151073,10.199332
"Langelinieparken 3A, 2. 3","Aarhus C",8000,"2019-08-19",1600000,2,69,2005,56.167847,10.2201805
"Telefontorvet 4, 3. th","Aarhus C",8000,"2019-08-19",2200000,3,92,2005,56.155617,10.207114
"Tage-Hansens Gade 15, 4. mf","Aarhus C",8000,"2019-08-19",1750000,2,57,1945,56.158123,10.184217
"Trøjborgvej 22, 3","Aarhus N",8200,"2019-08-19",3725000,4,91,1900,56.169476,10.215292
"Mariane Thomsens Gade 38","Aarhus C",8000,"2019-08-19",1526000,2,59,2013,56.16524,10.230001
"Åboulevarden 19B, 3. th","Aarhus C",8000,"2019-08-19",2800000,3,89,2008,56.15477,10.210067
"Værkmestergade 25, 16. 3","Aarhus C",8000,"2019-08-19",5675000,2,138,2004,56.149445,10.206125
"Langelandsgade 210, 1. tv","Aarhus N",8200,"2019-08-19",1925000,2,62,1938,56.17339,10.201883
"Ceresbyen 31, 3. 1","Aarhus C",8000,"2019-08-19",2000000,3,84,2017,56.156517,10.190962
"Høegh-Guldbergs Gade 57, 1","Aarhus C",8000,"2019-08-18",8700000,6,220,1891,56.163006,10.208888
"Marselisborg Allé 5E","Aarhus C",8000,"2019-08-18",4700000,4,101,1895,56.14748,10.208378
"Marius Simonsens Vej 5, st. th","Aarhus N",8200,"2019-08-18",1800000,3,68,1952,56.17506,10.204803
"Wilstersgade 34, st. tv","Aarhus C",8000,"2019-08-18",2200000,2,53,1897,56.147594,10.193946
"Samsøgade 82, 2. tv","Aarhus C",8000,"2019-08-18",1560000,2,51,1900,56.16195,10.200317
"Skt. Pauls Gade 27G, 1. tv","Aarhus C",8000,"2019-08-18",2600000,2,63,1913,56.146133,10.201188
"Mariane Thomsens Gade 36, 9","Aarhus C",8000,"2019-08-18",10300000,4,217,2013,56.165173,10.229845
"Ceresbyen 54, 1. 1","Aarhus C",8000,"2019-08-18",3850000,3,97,2018,56.15644,10.19309
"Schleppegrellsgade 27, st. tv","Aarhus C",8000,"2019-08-17",1900000,2,49,1913,56.147663,10.191822
"Nordborggade 17, 3. 1","Aarhus C",8000,"2019-08-17",1150000,1,37,1959,56.14447,10.186077
"Havnegade 16, 2. th","Aarhus C",8000,"2019-08-16",2450000,2,59,1955,56.155384,10.212263
"Regenburgsgade 12, 1. tv","Aarhus C",8000,"2019-08-15",1480000,1,49,1938,56.15721,10.183254
"Marselis Boulevard 28, 1. 4","Aarhus C",8000,"2019-08-15",1375000,2,47,1959,56.141796,10.201582
"Skanderborgvej 33, 3. tv","Aarhus C",8000,"2019-08-14",1930000,2,63,1938,56.140423,10.183584
"Dronning Margrethes Vej 3, 3. th","Aarhus N",8200,"2019-08-14",2525000,2,60,1929,56.169094,10.218847
"Telefonsmøgen 14, 3. tv","Aarhus C",8000,"2019-08-14",3450000,3,84,1924,56.154896,10.206426
"Tage-Hansens Gade 7, 2. mf","Aarhus C",8000,"2019-08-14",1800000,2,55,1945,56.157593,10.184184
"Sejrøgade 18, 4. tv","Aarhus C",8000,"2019-08-14",3400000,3,97,1930,56.159912,10.197779
"Silkeborgvej 176, 1. tv","Aarhus C",8000,"2019-08-14",1685000,2,54,1939,56.15658,10.177204
"Helgolandsgade 17, st","Aarhus C",8000,"2019-08-14",3500000,3,80,1886,56.148636,10.201237
"Klostertorvet 11, 4. 2","Aarhus C",8000,"2019-08-14",2100000,2,47,2015,56.158085,10.205831
"Lundbyesgade 24, st. tv","Aarhus C",8000,"2019-08-13",2260000,2,58,1920,56.154842,10.194871
"Absalonsgade 23, 2","Aarhus C",8000,"2019-08-13",2850000,3,87,1896,56.147476,10.193486
"Silkeborgvej 154, st. tv","Aarhus C",8000,"2019-08-13",1050000,2,69,1932,56.156357,10.178289
"Langelandsgade 22, 3. tv","Aarhus C",8000,"2019-08-13",2025000,2,60,1930,56.15996,10.1975765
"Ceres Allé 7, 16. 4","Aarhus C",8000,"2019-08-13",3500000,3,86,2016,56.15459,10.191217
"J. Michaelsens Gade 2, 4","Aarhus C",8000,"2019-08-13",2650000,3,74,1910,56.14412,10.202427
"Langenæs Allé 45, st. mf","Aarhus C",8000,"2017-10-16",1070000,1,36,1960,56.14123,10.181136
"Kriegersvej 17, 2. tv","Aarhus C",8000,"2017-10-16",2099000,2,67,1994,56.14982,10.199798
"Søndergade 1A, 2","Aarhus C",8000,"2017-10-16",9250000,5,162,1948,56.155537,10.207987
"Sjællandsgade 84, 1","Aarhus C",8000,"2017-10-15",1717000,3,83,1892,56.162983,10.205554
"Langelandsgade 22, 2. tv","Aarhus C",8000,"2017-10-15",2169000,2,60,1930,56.15996,10.1975765
"Kongsvang Allé 20, 1. tv","Aarhus C",8000,"2017-10-15",2250000,3,78,1939,56.139935,10.18591
"Tage-Hansens Gade 11, 5. tv","Aarhus C",8000,"2017-10-15",1975000,3,71,1945,56.157856,10.184194
"Grønnegade 93, 2. 2","Aarhus C",8000,"2017-10-15",1820000,2,49,1922,56.16058,10.199838
"Skovgaardsgade 16, 2. tv","Aarhus C",8000,"2017-10-15",2530000,3,72,1927,56.15469,10.194373
"Havnegade 16, 2. mf","Aarhus C",8000,"2017-10-15",1865000,2,49,1955,56.155384,10.212263
"Silkeborgvej 164, 2. th","Aarhus C",8000,"2017-10-14",1745000,2,52,1939,56.156353,10.17777
"J. Michaelsens Gade 6, 4. th","Aarhus C",8000,"2017-10-14",3280000,3,78,1908,56.143883,10.20249
"Niels Juels Gade 62, st","Aarhus N",8200,"2017-10-12",1765000,2,52,1900,56.170265,10.215067
"Langelandsgade 31, st","Aarhus C",8000,"2017-10-12",2000000,3,113,1900,56.15938,10.197762
"Jens Baggesens Vej 96, 3. th","Aarhus N",8200,"2017-10-12",2250000,3,89,1968,56.170776,10.196355
"Willemoesgade 46, 2","Aarhus N",8200,"2017-10-12",3650000,3,105,1934,56.171787,10.2130575
"Molsgade 8, 3. th","Aarhus C",8000,"2017-10-12",2175000,2,53,1901,56.16274,10.214327
"Mariane Thomsens Gade 50, st. 2","Aarhus C",8000,"2017-10-12",2279000,2,71,2013,56.16494,10.23058
"Skt. Nicolaus Gade 3, 3. 4","Aarhus C",8000,"2017-10-12",3150000,3,83,1969,56.151073,10.199332
"Søndre Ringgade 63, 2. th","Aarhus C",8000,"2017-10-11",575000,2,66,1938,56.145576,10.186533
"Ceresbyen 31, st. 4","Aarhus C",8000,"2017-10-11",3000000,3,91,2017,56.156517,10.190962
"Marselis Boulevard 28, 1. 6","Aarhus C",8000,"2017-10-11",2450000,4,93,1959,56.141796,10.201582
"Fredensgade 52B, 3","Aarhus C",8000,"2017-10-10",2295400,5,127,1880,56.15169,10.207314
"Marstrandsgade 5, 5. tv","Aarhus C",8000,"2017-10-10",2150000,1,53,1916,56.154926,10.198655
"A.H. Winges Vej 3, 3. th","Aarhus N",8200,"2017-10-09",2130000,3,73,1955,56.17481,10.204058
"Hjortensgade 7, 1","Aarhus C",8000,"2017-10-09",1317500,2,60,1896,56.158676,10.197336
"Vestre Ringgade 224, 5. tv","Aarhus C",8000,"2017-10-09",1800000,2,55,1950,56.169735,10.196487
"Esther Aggebos Gade 10, 5. 3","Aarhus C",8000,"2017-10-09",6000000,3,133,2017,56.166588,10.226433
"Ceresbyen 66, 4. 5","Aarhus C",8000,"2017-10-09",5050000,4,109,2017,56.15669,10.194395
"Valdemars Have 30, 4. mf","Aarhus C",8000,"2017-10-09",3350000,3,76,2019,56.151646,10.19666
"Strandvejen 8A, st. tv","Aarhus C",8000,"2017-10-08",2898000,3,81,1914,56.147846,10.208965
"Thorvaldsensgade 17, 2. tv","Aarhus C",8000,"2017-10-08",2195000,2,65,1933,56.155903,10.196857
"Ivar Huitfeldts Gade 72, 4. tv","Aarhus N",8200,"2017-10-08",1190000,2,62,1931,56.17384,10.2142515
"Åhusene 5, 4. 1","Aarhus C",8000,"2017-10-08",2875000,3,69,2013,56.152634,10.188483
"Esther Aggebos Gade 10, 5. 4","Aarhus C",8000,"2017-10-08",6500000,3,140,2017,56.166588,10.226433
"Esther Aggebos Gade 10, 6. 2","Aarhus C",8000,"2017-10-08",2700000,2,67,2017,56.166588,10.226433
"Irma Pedersens Gade 131, 3. th","Aarhus C",8000,"2017-10-08",4850000,3,101,2019,56.16325,10.228861
"Skt. Nicolaus Gade 3, 4. 3","Aarhus C",8000,"2017-10-08",1703000,3,62,1969,56.151073,10.199332
"Irma Pedersens Gade 115, 5. 2","Aarhus C",8000,"2017-10-08",2800000,2,58,2019,56.16301,10.228783
"Ceresbyen 40, 4. 3","Aarhus C",8000,"2017-05-21",3500000,3,95,2017,56.156464,10.191863
"Helga Pedersens Gade 7, 7. 2","Aarhus C",8000,"2017-05-21",6700000,4,147,2014,56.166706,10.229692
"Dagmar Petersens Gade 70, 1. tv","Aarhus C",8000,"2017-05-21",3300000,3,101,2016,56.166016,10.224827
"Herluf Trolles Gade 35, st. th","Aarhus N",8200,"2017-05-20",2250000,2,71,1933,56.172615,10.217453
"Tøndergade 98, 2. mf","Aarhus C",8000,"2017-05-18",1174000,1,41,1957,56.13989,10.179608
"Kløvermarksvej 27","Aarhus N",8200,"2017-05-18",1500000,2,44,2000,56.174885,10.198004
"Willemoesgade 25, 4. tv","Aarhus N",8200,"2017-05-18",1900000,1,48,1934,56.17316,10.2122555
"Thorvaldsensgade 31, st. 4","Aarhus C",8000,"2017-05-18",2750000,3,80,2017,56.156837,10.19446
"Sølystgade 53, 2","Aarhus C",8000,"2017-05-18",2750000,3,74,1896,56.161755,10.204171
"Tordenskjoldsgade 65, 2. tv","Aarhus N",8200,"2017-05-17",2325000,2,66,1931,56.172527,10.2163315
"Søgade 6E","Aarhus C",8000,"2017-05-17",1950000,2,58,1986,56.150497,10.198013
"Mejlgade 91, 1. tv","Aarhus C",8000,"2017-05-17",3495000,4,92,1900,56.162117,10.214739
"Dronning Margrethes Vej 23, st. th","Aarhus N",8200,"2017-05-17",2995000,4,89,1912,56.170406,10.219475
"Vestervang 2, kl. 2002","Aarhus C",8000,"2017-05-17",2300000,1,66,1970,56.161762,10.194694
"Ny Munkegade 2B, 2. th","Aarhus C",8000,"2017-05-17",1945000,2,46,1900,56.160065,10.204265
"Høegh-Guldbergs Gade 35, st. th","Aarhus C",8000,"2017-05-17",2000000,2,57,1936,56.162422,10.210456
"Ceresbyen 44, st. 1","Aarhus C",8000,"2017-05-17",3800000,2,86,2017,56.156128,10.19216
"Niels Juels Gade 29, 3. th","Aarhus N",8200,"2017-05-17",1975000,2,68,2011,56.169785,10.21683
"Ceresbyen 37, 1. 3","Aarhus C",8000,"2017-05-17",3000000,3,86,2017,56.156746,10.1917095
"Vestre Ringgade 210, 2. th","Aarhus C",8000,"2017-05-16",1875000,3,83,1950,56.16918,10.194873
"Heibergsgade 2, 3. tv","Aarhus C",8000,"2017-05-16",1276000,2,62,1890,56.147022,10.2072
"Åparken 6, 3. 3","Aarhus C",8000,"2017-05-16",2590000,3,76,2001,56.154114,10.187518
"Vesterbrogade 24B, 2","Aarhus C",8000,"2017-05-16",2148000,2,60,1901,56.15811,10.196109
"Lyøgade 11, 1. th","Aarhus N",8200,"2017-05-16",1825000,2,62,1939,56.173855,10.200452
"Ceresbyen 37, 2. 3","Aarhus C",8000,"2017-05-16",3050000,3,86,2017,56.156746,10.1917095
"Åhusene 9, st. 3","Aarhus C",8000,"2017-05-16",1105000,2,52,2014,56.15282,10.187249
"Nørre Allé 42C","Aarhus C",8000,"2017-05-16",1175000,1,31,1990,56.160713,10.204667
"Sonnesgade 19, 1. tv","Aarhus C",8000,"2017-05-16",2135000,2,56,1918,56.15008,10.194036
"Nørre Allé 90, 3. th","Aarhus C",8000,"2017-05-15",2765000,3,87,1930,56.15899,10.200874
"Vesterbrogade 31, st. tv","Aarhus C",8000,"2017-05-15",1500000,2,50,1938,56.157513,10.195076
"Augustenborggade 5, 1. tv","Aarhus C",8000,"2017-05-15",2145000,2,63,1938,56.146667,10.184928
"Mariane Thomsens Gade 50, 4. 1","Aarhus C",8000,"2017-05-15",4450000,3,98,2013,56.16494,10.23058
"Ceresbyen 66, 7. 4","Aarhus C",8000,"2017-05-15",5350000,3,109,2017,56.15669,10.194395
"Ålborggade 14, 4. tv","Aarhus C",8000,"2017-05-14",4900000,5,110,1929,56.14337,10.193539
"Graven 18F, 1. th","Aarhus C",8000,"2017-05-14",3500000,3,109,2005,56.15901,10.210589
"Vestervang 30, 4. tv","Aarhus C",8000,"2017-05-14",3125000,3,95,1983,56.164387,10.192238
"Chr. Wærums Gade 8, 2. th","Aarhus C",8000,"2017-05-14",3500000,3,94,1931,56.14363,10.192466
"J. Michaelsens Gade 2, 1","Aarhus C",8000,"2017-05-14",2215000,2,59,1910,56.14412,10.202427
"Jerichausgade 17, 1. tv","Aarhus C",8000,"2019-03-29",1500000,2,65,1930,56.15475,10.195463
"Brendstrupvej 23, 1. th","Aarhus N",8200,"2019-03-28",2550000,3,84,1967,56.174706,10.199708
"Trøjborgvej 2B, 4. tv","Aarhus N",8200,"2019-03-28",2165000,2,59,1930,56.168945,10.2185545
"Otte Ruds Gade 21, st. tv","Aarhus N",8200,"2019-03-28",2900000,3,79,1936,56.171436,10.217364
"Silkeborgvej 178, st. 4","Aarhus C",8000,"2019-03-28",1050000,1,32,1939,56.156155,10.176785
"Vesterbrogade 24, st","Aarhus C",8000,"2019-03-28",2000000,3,75,1901,56.15792,10.196204
"Ivar Huitfeldts Gade 72, st. tv","Aarhus N",8200,"2019-03-28",2430000,3,76,1931,56.17384,10.2142515
"Ceresbyen 38, 4. 4","Aarhus C",8000,"2019-03-28",2175000,2,49,2017,56.156174,10.191276
"Jerichausgade 18, 2","Aarhus C",8000,"2019-03-28",2498000,3,86,1910,56.154736,10.195987
"Frederiks Plads 8, 1. 2","Aarhus C",8000,"2019-03-28",2980000,2,74,2017,56.149246,10.208593
"Hendrik Pontoppidans Gade 6, st. tv","Aarhus C",8000,"2019-03-27",2055000,2,60,1906,56.14495,10.205369
"Skt. Pauls Gade 7B, 4","Aarhus C",8000,"2019-03-27",3072000,5,146,1903,56.146366,10.204699
"Hans Broges Gade 12, 3. th","Aarhus C",8000,"2019-03-27",2470000,4,96,1906,56.143757,10.204131
"Grønnegade 77B, 2. th","Aarhus C",8000,"2019-03-27",2900000,3,68,1900,56.15941,10.200598
"Frederiks Allé 75C, 1. th","Aarhus C",8000,"2019-03-27",3350000,3,98,1926,56.148716,10.19821
"Sonnesgade 17, 4. tv","Aarhus C",8000,"2019-03-27",2000000,2,53,1918,56.150177,10.194164
"Mariane Thomsens Gade 36, 4. 2","Aarhus C",8000,"2019-03-27",2848000,2,77,2013,56.165173,10.229845
"Fåborggade 8, 2. tv","Aarhus C",8000,"2019-03-26",3300000,3,90,1910,56.14372,10.203395
"Thunøgade 45, st","Aarhus C",8000,"2019-03-26",1330000,2,85,1894,56.160698,10.201648
"Mejlgade 85, 4","Aarhus C",8000,"2019-03-26",1330000,3,78,1902,56.161777,10.214364
"Ankersgade 13, 1","Aarhus C",8000,"2019-03-26",2040000,2,60,1901,56.148056,10.192264
"Otte Ruds Gade 44A, 3. th","Aarhus N",8200,"2019-03-26",1147500,2,61,1989,56.172,10.214994
"Falstersgade 10, 3. tv","Aarhus C",8000,"2019-03-26",3150000,3,81,1925,56.16299,10.200907
"Bülowsgade 53, 1","Aarhus C",8000,"2019-03-25",2110040,2,58,1906,56.146156,10.202331
"Vestervang 41, 6. 4167","Aarhus C",8000,"2019-03-25",2350000,3,75,1969,56.165054,10.189107
"Thorvaldsensgade 1, 4. tv","Aarhus C",8000,"2019-03-25",2700000,3,85,1902,56.155323,10.198574
"Sølystgade 56, 2","Aarhus C",8000,"2019-03-25",1700000,3,77,1898,56.161854,10.20388
"Oslogade 14, 2. tv","Aarhus N",8200,"2019-03-25",1232500,3,70,1952,56.175663,10.200005
"Strandparken 21, st. tv","Aarhus C",8000,"2019-03-25",4800000,5,155,1938,56.144722,10.207896
"Hjelmensgade 3, 2. tv","Aarhus C",8000,"2019-03-25",3050000,4,80,1890,56.161606,10.210061
"Tåsingegade 12, 1. 4","Aarhus N",8200,"2019-03-25",1060000,1,29,1937,56.17316,10.202593
"Søndre Ringgade 83, 2. th","Aarhus C",8000,"2019-03-25",2200000,2,64,1938,56.14669,10.185434
"Skovvangsvej 17F, 1","Aarhus N",8200,"2019-03-25",1375000,1,49,1900,56.177002,10.202629
"Østbanetorvet 4, 1. tv","Aarhus C",8000,"2019-03-24",2265000,2,78,1895,56.16363,10.215728
"Vestervang 25D, 1. tv","Aarhus C",8000,"2019-03-24",2250000,2,74,1985,56.16408,10.192286
"Lollandsgade 69, 1. th","Aarhus C",8000,"2019-03-24",1940000,2,44,1897,56.161407,10.20055
"Åhusene 7, 8. 1","Aarhus C",8000,"2019-03-24",1535000,3,69,2013,56.15273,10.187806
"Gyldenløvesgade 6, 2. tv","Aarhus N",8200,"2019-03-24",2100000,3,74,1930,56.170097,10.2182865
"Åhusene 5, 8. 5","Aarhus C",8000,"2019-03-24",2548000,2,58,2013,56.152634,10.188483
"Olfert Fischers Gade 3, st. 3","Aarhus N",8200,"2019-03-23",2371000,3,61,1943,56.174393,10.211187
"Edouard Suensons Gade 6, 3. p","Aarhus N",8200,"2019-03-21",2310000,2,67,1966,56.17092,10.217527
"Vestervang 27, 2. mf","Aarhus C",8000,"2017-08-06",1948000,2,66,1983,56.16425,10.193104
"Nordborggade 31, 3. 1","Aarhus C",8000,"2017-08-06",1155000,1,38,1960,56.14493,10.185543
"Ceresbyen 37, st. 3","Aarhus C",8000,"2017-08-06",2900000,3,86,2017,56.156746,10.1917095
"Irma Pedersens Gade 25, st. 2","Aarhus C",8000,"2017-08-06",2700000,2,55,2019,56.16339,10.228459
"Steen Billes Gade 13, 1. th","Aarhus N",8200,"2017-08-05",1835000,2,67,1930,56.174454,10.215256
"Jægergårdsgade 116, st. 4","Aarhus C",8000,"2017-08-05",2110000,2,67,1890,56.147404,10.205401
"Lundbyesgade 9, 4. tv","Aarhus C",8000,"2017-08-04",2862500,3,93,1925,56.15531,10.195898
"Marselis Boulevard 28, 1. 2","Aarhus C",8000,"2017-08-04",1460000,2,52,1959,56.141796,10.201582
"Vestre Ringgade 214, 4. tv","Aarhus C",8000,"2017-08-03",2520000,3,83,1950,56.169323,10.1952715
"Tåsingegade 18, 1. th","Aarhus N",8200,"2017-08-03",1875000,2,62,1936,56.173008,10.202089
"Thorvaldsensgade 1, 2. th","Aarhus C",8000,"2017-08-03",2500000,3,77,1902,56.155323,10.198574
"Sonnesgade 15, 2. th","Aarhus C",8000,"2017-08-02",2648000,3,70,1918,56.150276,10.194278
"Møllegade 7B, 1. mf","Aarhus C",8000,"2017-08-02",2300000,2,68,1995,56.156906,10.201337
"Kriegersvej 17, 1. th","Aarhus C",8000,"2017-08-02",2700000,3,79,1994,56.14982,10.199798
"Museumsgade 24, 2","Aarhus C",8000,"2017-08-01",2650000,3,83,1900,56.15622,10.197247
"Tåsingegade 14, 2. 4","Aarhus N",8200,"2017-08-01",1098000,1,33,1939,56.173176,10.20239
"Skovvangsvej 192, 2. th","Aarhus N",8200,"2017-08-01",2000000,2,55,2002,56.17461,10.215932
"Vestervang 3, kl. 3001","Aarhus C",8000,"2017-08-01",2900000,2,77,1970,56.161865,10.194125
"Åhusene 11, 7. 4","Aarhus C",8000,"2017-08-01",2348000,2,55,2014,56.152912,10.186635
"Frederiks Plads 26, 3. 2","Aarhus C",8000,"2017-08-01",3200000,3,86,2017,56.148487,10.208627
"Vestre Ringgade 224, 4. tv","Aarhus C",8000,"2017-07-31",2098000,2,71,1950,56.169735,10.196487
"Kildegården 11, 1. th","Aarhus C",8000,"2017-07-31",2525000,2,79,1939,56.141743,10.206457
"Silkeborgvej 178, 1. 2","Aarhus C",8000,"2017-07-31",1085000,2,39,1939,56.156155,10.176785
"Åhusene 5, st. 3","Aarhus C",8000,"2017-07-31",2075000,2,52,2013,56.152634,10.188483
"Skt. Pauls Gade 27F, 3","Aarhus C",8000,"2017-07-31",4310000,4,109,1913,56.146126,10.200988
"Åhusene 11, 3. 2","Aarhus C",8000,"2017-07-31",1487500,3,68,2014,56.152912,10.186635
"Tøndergade 86, 1. mf","Aarhus C",8000,"2017-07-30",1400000,1,45,1957,56.140644,10.180976
"Harald Jensens Plads 9, 2. tv","Aarhus C",8000,"2017-07-30",3050000,3,100,1933,56.14313,10.1898
"Søndre Ringgade 77, 3. th","Aarhus C",8000,"2017-07-30",2250000,2,67,1938,56.14634,10.185713
"Skolegyde 8, 1","Aarhus C",8000,"2017-07-27",3230000,3,92,1921,56.15644,10.212028
"Grønningen 1, 3. tv","Aarhus C",8000,"2017-07-27",2475000,3,81,1917,56.160095,10.200279
"Marselis Boulevard 34, 1. th","Aarhus C",8000,"2017-07-27",3050000,4,118,1967,56.141163,10.198517
"Lundingsgade 3, 4","Aarhus C",8000,"2017-07-27",2225000,3,67,1899,56.14684,10.195459
"Frederiks Allé 160, 1","Aarhus C",8000,"2017-07-27",1808935,2,82,1898,56.14664,10.194203
"Rudolph Wulffs Gade 12, 5. tv","Aarhus C",8000,"2017-07-27",2110000,2,73,1946,56.14054,10.184897
"Gebauersgade 8, 2. 2","Aarhus C",8000,"2017-07-27",2148000,2,60,1988,56.15143,10.195253
"Åboulevarden 55, 6. tv","Aarhus C",8000,"2017-07-27",2995000,3,85,1928,56.155956,10.204189
"Sjællandsgade 1, 2. tv","Aarhus C",8000,"2020-05-27",2750000,2,57,1941,56.16102,10.20953
